Ticker;Fecha;Cierre;Apertura;Max;Min;Vol.;% var.
AAPL;23/10/2020;2085;2145;2155;2000;408.23K;-2.57%
AAPL;22/10/2020;2140;2110;2153;2060.5;138.05K;1.90%
AAPL;21/10/2020;2100;2012;2144;2012;142.55K;4.37%
AAPL;20/10/2020;2012;1936;2030;1892;127.08K;3.93%
AAPL;19/10/2020;1936;2036;2050;1915;198.79K;-3.44%
AAPL;16/10/2020;2005;2095.5;2100;2000;200.87K;-2.81%
AAPL;14/10/2020;2063;1930;2064.5;1930;168.10K;7.00%
AAPL;13/10/2020;1928;1895;1967;1895;388.44K;4.95%
AAPL;9/10/2020;1837;1780;1839.5;1780;208.63K;3.55%
AAPL;8/10/2020;1774;1765;1780;1746;98.08K;1.08%
AAPL;7/10/2020;1755;1765;1765;1735.5;120.22K;1.62%
AAPL;6/10/2020;1727;1775;1778;1722;90.81K;-2.70%
AAPL;5/10/2020;1775;1723.5;1779;1720;121.46K;3.62%
AAPL;2/10/2020;1713;1698;1718.5;1657;83.89K;-0.41%
AAPL;1/10/2020;1720;1724;1724;1681;105.92K;0.58%
AAPL;30/09/2020;1710;1687.5;1729.5;1687.5;172.03K;1.30%
AAPL;29/09/2020;1688;1671;1692;1645;118.19K;0.93%
AAPL;28/09/2020;1672.5;1650;1675;1609.5;164.77K;2.67%
AAPL;25/09/2020;1629;1600;1640;1570;123.08K;4.56%
AAPL;24/09/2020;1558;1620;1650;1520;199.66K;-3.83%
AAPL;23/09/2020;1620;1642;1650;1608;157.12K;-1.40%
AAPL;22/09/2020;1643;1570;1650;1514;353.22K;6.83%
AAPL;21/09/2020;1538;1484;1580;1422;291.51K;3.50%
AAPL;18/09/2020;1486;1461.5;1499;1402.5;207.09K;3.19%
AAPL;17/09/2020;1440;1480;1489;1420;87.05K;-2.70%
AAPL;16/09/2020;1480;1521;1550;1474.5;61.84K;-2.05%
AAPL;15/09/2020;1511;1530;1553.5;1440;146.22K;0.07%
AAPL;14/09/2020;1510;1500;1510;1466;167.51K;4.14%
AAPL;11/09/2020;1450;1469;1469;1420;95.98K;-1.26%
AAPL;10/09/2020;1468.5;1525;1540;1441;124.62K;-1.28%
AAPL;9/09/2020;1487.5;1414.5;1500;1414.5;131.47K;6.48%
AAPL;8/09/2020;1397;1490;1490;1380;146.45K;-9.02%
AAPL;7/09/2020;1535.5;1560;1575;1523.5;27.53K;-0.23%
AAPL;4/09/2020;1539;1440;1539;1330;178.98K;2.46%
AAPL;3/09/2020;1502;1630;1630;1487.5;186.92K;-9.79%
AAPL;2/09/2020;1665;1700;1700;1618;57.89K;-2.52%
AAPL;1/09/2020;1708;1788;1788;1671;62.81K;1.73%
AAPL;31/08/2020;1679;1662.5;1690;1616.5;77.23K;6.13%
AAPL;28/08/2020;1582;1575;1600;1505.5;56.42K;0.47%
AAPL;27/08/2020;1574.62;1626.25;1650;1564;91.32K;-3.17%
AAPL;26/08/2020;1626.12;1675;1675;1581.62;37.54K;-1.63%
AAPL;25/08/2020;1653.12;1682;1682;1625;79.69K;-1.77%
AAPL;24/08/2020;1682.88;1725;1749.5;1656.38;173.30K;-0.03%
AAPL;21/08/2020;1683.38;1636.5;1687;1613.88;106.81K;6.29%
AAPL;20/08/2020;1583.75;1547.5;1587.5;1547.5;59.22K;3.14%
AAPL;19/08/2020;1535.5;1524;1538.75;1500;34.65K;2.84%
AAPL;18/08/2020;1493.12;1512.25;1512.25;1466.25;44.06K;1.75%
AAPL;14/08/2020;1467.5;1518.12;1518.12;1442.5;66.36K;-2.57%
AAPL;13/08/2020;1506.25;1537.5;1537.5;1488.75;28.96K;1.10%
AAPL;12/08/2020;1489.88;1431.25;1500;1431.25;82.68K;4.65%
AAPL;11/08/2020;1423.62;1460;1460;1413.88;19.48K;-2.42%
AAPL;10/08/2020;1458.88;1430;1472.5;1412.5;23.72K;2.48%
AAPL;7/08/2020;1423.62;1400;1442.12;1400;33.20K;1.58%
AAPL;6/08/2020;1401.51;1345.82;1411;1345.82;54.88K;4.08%
AAPL;5/08/2020;1346.57;1342.33;1348.57;1293.63;32.52K;0.68%
AAPL;4/08/2020;1337.46;1335.83;1342.95;1248.68;91.72K;0.24%
AAPL;3/08/2020;1334.21;1323.85;1415.87;1301.99;74.88K;1.65%
AAPL;31/07/2020;1312.61;1225.2;1323.35;1223.7;119.96K;12.49%
AAPL;30/07/2020;1166.89;1133.8;1173.76;1092.59;39.48K;3.50%
